image,paths,note
mmc.exe,C:\Windows\System32\mmc.exe|C:\Windows\SysWOW64\mmc.exe,Microsoft Management Console
mpcmdrun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\<version>\MpCmdRun.exe|C:\Program Files\Windows Defender\MpCmdRun.exe|C:\Program Files\Microsoft Security Client\MpCmdRun.exe,Microsoft Defender command-line tool
msaccess.exe,C:\Program Files\Microsoft Office\root\Office16\MSACCESS.EXE|C:\Program Files (x86)\Microsoft Office\root\Office16\MSACCESS.EXE|C:\Program Files\Microsoft Office\Office16\MSACCESS.EXE|C:\Program Files (x86)\Microsoft Office\Office16\MSACCESS.EXE,Microsoft Office Access
mshta.exe,C:\Windows\System32\mshta.exe|C:\Windows\SysWOW64\mshta.exe,Microsoft HTML Application host
mspub.exe,C:\Program Files\Microsoft Office\root\Office16\MSPUB.EXE|C:\Program Files (x86)\Microsoft Office\root\Office16\MSPUB.EXE|C:\Program Files\Microsoft Office\Office16\MSPUB.EXE|C:\Program Files (x86)\Microsoft Office\Office16\MSPUB.EXE,Microsoft Office Publisher
mstask.dll,C:\Windows\System32\mstask.dll|C:\Windows\SysWOW64\mstask.dll,Task Scheduler module
narrator.exe,C:\Windows\System32\Narrator.exe,Windows accessibility utility
net.exe,C:\Windows\System32\net.exe|C:\Windows\SysWOW64\net.exe,Windows command
net1.exe,C:\Windows\System32\net1.exe|C:\Windows\SysWOW64\net1.exe,Windows command
osk.exe,C:\Windows\System32\osk.exe,Windows accessibility utility
outlook.exe,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE|C:\Program Files (x86)\Microsoft Office\root\Office16\OUTLOOK.EXE|C:\Program Files\Microsoft Office\Office16\OUTLOOK.EXE|C:\Program Files (x86)\Microsoft Office\Office16\OUTLOOK.EXE,Microsoft Office Outlook
pcalua.exe,C:\Windows\System32\pcalua.exe,Windows Program Compatibility Assistant
powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe|C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe,Windows PowerShell
powershell_ise.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe|C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell_ise.exe,Windows PowerShell ISE
powerpnt.exe,C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE|C:\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE|C:\Program Files\Microsoft Office\Office16\POWERPNT.EXE|C:\Program Files (x86)\Microsoft Office\Office16\POWERPNT.EXE,Microsoft Office PowerPoint
pwsh.exe,C:\Program Files\PowerShell\7\pwsh.exe|C:\Program Files (x86)\PowerShell\7\pwsh.exe,PowerShell 7
reg.exe,C:\Windows\System32\reg.exe|C:\Windows\SysWOW64\reg.exe,Windows command
regsvr32.exe,C:\Windows\System32\regsvr32.exe|C:\Windows\SysWOW64\regsvr32.exe,Windows command
rundll32.exe,C:\Windows\System32\rundll32.exe|C:\Windows\SysWOW64\rundll32.exe,Windows command
sc.exe,C:\Windows\System32\sc.exe|C:\Windows\SysWOW64\sc.exe,Windows command
schtasks.exe,C:\Windows\System32\schtasks.exe|C:\Windows\SysWOW64\schtasks.exe,Windows command
scrobj.dll,C:\Windows\System32\scrobj.dll|C:\Windows\SysWOW64\scrobj.dll,Windows Script Component runtime
sethc.exe,C:\Windows\System32\sethc.exe,Windows accessibility utility
syncappvpublishingserver.exe,C:\Windows\System32\SyncAppvPublishingServer.exe,Microsoft App-V publishing utility
system.management.automation.dll,C:\Windows\Microsoft.NET\assembly\GAC_MSIL\System.Management.Automation\v4.0_3.0.0.0__31bf3856ad364e35\System.Management.Automation.dll,Windows PowerShell automation assembly
utilman.exe,C:\Windows\System32\utilman.exe,Windows accessibility utility
vstoinstaller.exe,C:\Program Files\Common Files\Microsoft Shared\VSTO\10.0\VSTOInstaller.exe|C:\Program Files (x86)\Common Files\Microsoft Shared\VSTO\10.0\VSTOInstaller.exe,Visual Studio Tools for Office installer
wab.exe,C:\Program Files\Windows Mail\wab.exe|C:\Program Files (x86)\Windows Mail\wab.exe,Windows Contacts
winword.exe,C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE|C:\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE|C:\Program Files\Microsoft Office\Office16\WINWORD.EXE|C:\Program Files (x86)\Microsoft Office\Office16\WINWORD.EXE,Microsoft Office Word
wmic.exe,C:\Windows\System32\wbem\wmic.exe|C:\Windows\SysWOW64\wbem\wmic.exe,Windows Management Instrumentation command
wmiprvse.exe,C:\Windows\System32\wbem\WmiPrvSE.exe|C:\Windows\SysWOW64\wbem\WmiPrvSE.exe,WMI provider host
wmiutils.dll,C:\Windows\System32\wbem\wmiutils.dll|C:\Windows\SysWOW64\wbem\wmiutils.dll,WMI utility module
wscript.exe,C:\Windows\System32\wscript.exe|C:\Windows\SysWOW64\wscript.exe,Windows Script Host GUI
wshom.ocx,C:\Windows\System32\wshom.ocx|C:\Windows\SysWOW64\wshom.ocx,Windows Script Host object model
wsl.exe,C:\Windows\System32\wsl.exe,Windows Subsystem for Linux launcher
wsreset.exe,C:\Windows\System32\WSReset.exe,Microsoft Store reset utility
